symbol,sector,listing_date
MGL,Oil Gas & Consumable Fuels,2016-07-01
MINDACORP,Automobile and Auto Components,2014-10-16
MMTC,Services,2012-04-09
MOTHERSON,Automobile and Auto Components,1996-08-14
MOTILALOFS,Financial Services,2007-09-11
MPHASIS,Information Technology,2004-06-04
MRF,Automobile and Auto Components,1996-09-18
MRPL,Oil Gas & Consumable Fuels,2005-01-07
MSUMI,Automobile and Auto Components,2022-03-28
MUTHOOTFIN,Financial Services,2011-05-06
NAM-INDIA,Financial Services,2017-11-06
NATCOPHARM,Healthcare,1995-12-27
NATIONALUM,Metals & Mining,1999-04-28
NAUKRI,Consumer Services,2006-11-21
NAVA,Power,1996-04-03
NAVINFLUOR,Chemicals,2007-06-01
NBCC,Construction,2012-04-12
NCC,Construction,2003-10-14
NESTLEIND,Fast Moving Consumer Goods,2023-08-01
NETWEB,Information Technology,2023-07-27
NEULANDLAB,Healthcare,2008-10-13
NEWGEN,Information Technology,2018-01-29
NH,Healthcare,2016-01-06
NHPC,Power,2009-09-01
NIACL,Financial Services,2017-11-13
NIVABUPA,Financial Services,2024-11-14
NLCINDIA,Power,2000-08-23
NMDC,Metals & Mining,2008-03-03
NSLNISP,Metals & Mining,2023-02-20
NTPC,Power,2004-11-05
NTPCGREEN,Power,2024-11-27
NUVAMA,Financial Services,2023-09-26
NUVOCO,Construction Materials,2021-08-23
NYKAA,Consumer Services,2021-11-10
OBEROIRLTY,Realty,2010-10-20
OFSS,Information Technology,2002-06-28
OIL,Oil Gas & Consumable Fuels,2009-09-30
OLAELEC,Automobile and Auto Components,2024-08-09
OLECTRA,Automobile and Auto Components,2002-03-20
ONESOURCE,Healthcare,2025-01-24
ONGC,Oil Gas & Consumable Fuels,1995-07-19
PAGEIND,Textiles,2007-03-16
PARADEEP,Chemicals,2022-05-27
PATANJALI,Fast Moving Consumer Goods,2020-01-24
PAYTM,Financial Services,2021-11-18
PCBL,Chemicals,1995-03-29
PERSISTENT,Information Technology,2010-04-06
PETRONET,Oil Gas & Consumable Fuels,2004-03-26
PFC,Financial Services,2007-02-23
PFIZER,Healthcare,1999-04-28
PFOCUS,Media Entertainment & Publication,2006-06-20
PGEL,Consumer Durables,2011-09-26
PHOENIXLTD,Realty,2007-04-23
PIDILITIND,Chemicals,1995-03-29
PIIND,Chemicals,2011-06-15
PINELABS,Financial Services,2025-11-14
PIRAMALFIN,Financial Services,2025-11-07
PNB,Financial Services,2002-04-24
PNBHOUSING,Financial Services,2016-11-07
POLICYBZR,Financial Services,2021-11-15
POLYCAB,Capital Goods,2019-04-16
POLYMED,Healthcare,2011-12-07
POONAWALLA,Financial Services,2004-04-27
POWERGRID,Power,2007-10-05
POWERINDIA,Capital Goods,2020-03-30
PPLPHARMA,Healthcare,2022-10-19
PREMIERENE,Capital Goods,2024-09-03
PRESTIGE,Realty,2010-10-27
PTCIL,Capital Goods,2023-06-09
PVRINOX,Media Entertainment & Publication,2006-01-04
PWL,Consumer Services,2025-11-18
RADICO,Fast Moving Consumer Goods,2003-06-18
RAILTEL,Telecommunication,2021-02-26
RAINBOW,Healthcare,2022-05-10
RAMCOCEM,Construction Materials,1997-04-09
RBLBANK,Financial Services,2016-08-31
RECLTD,Financial Services,2008-03-12
REDINGTON,Services,2007-02-15
RELIANCE,Oil Gas & Consumable Fuels,1995-11-29
RHIM,Capital Goods,2012-03-12
RITES,Construction,2018-07-02
RKFORGE,Automobile and Auto Components,2004-05-05
RPOWER,Power,2008-02-11
RRKABEL,Capital Goods,2023-09-20
RVNL,Construction,2019-04-11
SAGILITY,Information Technology,2024-11-12
SAIL,Metals & Mining,1995-07-06
SAILIFE,Healthcare,2024-12-18
SAMMAANCAP,Financial Services,2013-07-23
SAPPHIRE,Consumer Services,2021-11-18
SARDAEN,Metals & Mining,2009-12-03
SAREGAMA,Media Entertainment & Publication,1997-07-30
SBFC,Financial Services,2023-08-16
SBICARD,Financial Services,2020-03-16
SBILIFE,Financial Services,2017-10-03
SBIN,Financial Services,1995-03-01
SCHAEFFLER,Automobile and Auto Components,2000-11-29
SCHNEIDER,Capital Goods,2012-03-20
SCI,Services,1997-08-13
SHREECEM,Construction Materials,1995-04-26
SHRIRAMFIN,Financial Services,1996-12-11
SHYAMMETL,Capital Goods,2021-06-24
SIEMENS,Capital Goods,1995-09-06
SIGNATURE,Realty,2023-09-27
SJVN,Power,2010-05-20
SOBHA,Realty,2006-12-20
SOLARINDS,Chemicals,2006-04-03
SONACOMS,Automobile and Auto Components,2021-06-24
SONATSOFTW,Information Technology,1999-07-28
SPLPETRO,Chemicals,2022-05-24
SRF,Chemicals,2003-08-18
STARHEALTH,Financial Services,2021-12-10
SUMICHEM,Chemicals,2020-01-27
SUNDARMFIN,Financial Services,1998-01-07
SUNPHARMA,Healthcare,1995-02-08
SUNTV,Media Entertainment & Publication,2006-04-24
SUPREMEIND,Capital Goods,1995-07-19
SUZLON,Capital Goods,2005-10-19
SWANCORP,Chemicals,2012-05-29
SWIGGY,Consumer Services,2024-11-13
